feature,importance,observed_train_fraction
x_-12_center_dx_norm,0.0,0.12310682214180405
x_+23_orientation_relative_deg,0.0,0.0
x_+23_superior_width_norm,0.0,0.0
x_+23_inferior_width_norm,0.0,0.0
x_-23_superior_width_norm,0.0,0.0
x_-23_inferior_width_norm,0.0,0.0
x_-23_orientation_relative_deg,0.0,0.0
x_-23_center_dx_norm,0.0,0.0
x_-23_center_dy_norm,0.0,0.0
x_-22_left_height_norm,0.0,0.0
x_-22_right_height_norm,0.0,0.0
x_-22_superior_width_norm,0.0,0.0
x_-22_inferior_width_norm,0.0,0.0
x_-22_orientation_relative_deg,0.0,0.0
x_-22_center_dx_norm,0.0,0.0
x_-22_center_dy_norm,0.0,0.0
x_-21_left_height_norm,0.0,0.0
x_-21_right_height_norm,0.0,0.0
x_+21_inferior_width_norm,0.0,0.0
x_+21_orientation_relative_deg,0.0,0.0
x_+21_center_dx_norm,0.0,0.0
x_+21_center_dy_norm,0.0,0.0
x_+22_left_height_norm,0.0,0.0
x_+22_right_height_norm,0.0,0.0
x_-15_left_height_norm,0.0,0.0
x_-15_right_height_norm,0.0,0.0
x_-15_inferior_width_norm,0.0,0.0
x_-15_center_dx_norm,0.0,0.0
x_-15_orientation_relative_deg,0.0,0.0
x_-15_superior_width_norm,0.0,0.0
x_-14_center_dx_norm,0.0,0.028012330786757807
x_-18_orientation_relative_deg,0.0,0.0
x_-18_inferior_width_norm,0.0,0.0
x_-18_superior_width_norm,0.0,0.0
x_-18_right_height_norm,0.0,0.0
x_-18_left_height_norm,0.0,0.0
x_-19_center_dy_norm,0.0,0.0
x_-19_center_dx_norm,0.0,0.0
x_-19_orientation_relative_deg,0.0,0.0
x_-15_center_dy_norm,0.0,0.0
x_-14_left_height_norm,0.0,0.028012330786757807
x_-17_center_dx_norm,0.0,0.0
x_-17_orientation_relative_deg,0.0,0.0
x_-17_right_height_norm,0.0,0.0
x_-17_left_height_norm,0.0,0.0
x_-17_inferior_width_norm,0.0,0.0
x_-17_superior_width_norm,0.0,0.0
x_-18_center_dx_norm,0.0,0.0
x_-18_center_dy_norm,0.0,0.0
x_-21_superior_width_norm,0.0,0.0
x_-21_inferior_width_norm,0.0,0.0
x_-21_orientation_relative_deg,0.0,0.0
x_-21_center_dx_norm,0.0,0.0
x_-21_center_dy_norm,0.0,0.0
x_-20_left_height_norm,0.0,0.0
x_-16_right_height_norm,0.0,0.0
x_-16_superior_width_norm,0.0,0.0
x_-16_inferior_width_norm,0.0,0.0
x_-16_orientation_relative_deg,0.0,0.0
x_-16_center_dx_norm,0.0,0.0
x_-16_center_dy_norm,0.0,0.0
x_-17_center_dy_norm,0.0,0.0
x_-16_left_height_norm,0.0,0.0
x_-19_right_height_norm,0.0,0.0
x_-19_left_height_norm,0.0,0.0
x_-20_center_dy_norm,0.0,0.0
x_-20_center_dx_norm,0.0,0.0
x_-20_orientation_relative_deg,0.0,0.0
x_-20_inferior_width_norm,0.0,0.0
x_-20_superior_width_norm,0.0,0.0
x_-20_right_height_norm,0.0,0.0
x_-19_inferior_width_norm,0.0,0.0
x_+13_orientation_relative_deg,0.0,0.07009784211231739
x_+14_left_height_norm,0.0,0.028012330786757807
x_+14_right_height_norm,0.0,0.028012330786757807
x_+14_superior_width_norm,0.0,0.028012330786757807
x_+14_inferior_width_norm,0.0,0.028012330786757807
x_+14_orientation_relative_deg,0.0,0.028012330786757807
x_-19_superior_width_norm,0.0,0.0
x_+14_center_dx_norm,0.0,0.028012330786757807
x_+15_left_height_norm,0.0,0.0
x_+15_right_height_norm,0.0,0.0
x_+15_superior_width_norm,0.0,0.0
x_+15_inferior_width_norm,0.0,0.0
x_+15_orientation_relative_deg,0.0,0.0
x_+15_center_dx_norm,0.0,0.0
x_+15_center_dy_norm,0.0,0.0
x_+16_left_height_norm,0.0,0.0
x_+16_right_height_norm,0.0,0.0
x_+16_superior_width_norm,0.0,0.0
x_+16_inferior_width_norm,0.0,0.0
x_+16_orientation_relative_deg,0.0,0.0
x_+16_center_dx_norm,0.0,0.0
x_+16_center_dy_norm,0.0,0.0
x_+17_left_height_norm,0.0,0.0
x_+17_right_height_norm,0.0,0.0
x_+17_superior_width_norm,0.0,0.0
x_+17_inferior_width_norm,0.0,0.0
x_+17_orientation_relative_deg,0.0,0.0
x_+17_center_dx_norm,0.0,0.0
x_+17_center_dy_norm,0.0,0.0
x_+18_left_height_norm,0.0,0.0
x_+18_right_height_norm,0.0,0.0
x_+18_superior_width_norm,0.0,0.0
x_+18_inferior_width_norm,0.0,0.0
x_+18_orientation_relative_deg,0.0,0.0
x_+18_center_dx_norm,0.0,0.0
x_+18_center_dy_norm,0.0,0.0
x_+19_left_height_norm,0.0,0.0
x_+19_right_height_norm,0.0,0.0
x_+19_superior_width_norm,0.0,0.0
x_+19_inferior_width_norm,0.0,0.0
x_+19_orientation_relative_deg,0.0,0.0
x_+19_center_dx_norm,0.0,0.0
x_+19_center_dy_norm,0.0,0.0
x_+20_left_height_norm,0.0,0.0
x_+20_right_height_norm,0.0,0.0
x_+20_superior_width_norm,0.0,0.0
x_+20_inferior_width_norm,0.0,0.0
x_+20_orientation_relative_deg,0.0,0.0
x_+20_center_dx_norm,0.0,0.0
x_+20_center_dy_norm,0.0,0.0
x_+21_left_height_norm,0.0,0.0
x_+21_right_height_norm,0.0,0.0
x_+21_superior_width_norm,0.0,0.0
x_+23_center_dx_norm,0.0,0.0
x_+23_center_dy_norm,0.0,0.0
